ts_utc,symbol,market_state,mid,spread_bps,buy_slip_bps_1000,buy_slip_bps_5000,buy_slip_bps_10000,buy_slip_bps_25000,buy_slip_bps_50000,buy_slip_bps_100000,sell_slip_bps_1000,sell_slip_bps_5000,sell_slip_bps_10000,sell_slip_bps_25000,sell_slip_bps_50000,sell_slip_bps_100000,buy_fillable_1000,buy_fillable_5000,buy_fillable_10000,buy_fillable_25000,buy_fillable_50000,buy_fillable_100000,sell_fillable_1000,sell_fillable_5000,sell_fillable_10000,sell_fillable_25000,sell_fillable_50000,sell_fillable_100000
2026-09-24T02:19:36.057776+00:00,RNVDAUSDT,after_hours_weekday,224.925,0.44459264199263426,6.73648190618688,10.061036010853334,10.476760603784427,11.122243367576257,12.158203980015633,13.462368619199841,0.22229632099694893,0.22229632099694893,0.22229632099694893,0.22229632099694893,0.22229632099694893,0.5412724705012335,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:19:36.057776+00:00,RMETAUSDT,after_hours_weekday,740.845,6.614069069778552,3.307034534889276,3.307034534889276,3.6992645327888005,5.56326352231872,8.513158409080742,16.14210324925853,3.307034534889276,3.307034534889276,3.349072896599559,3.9642818727312235,5.430011348307222,11.589853910326257,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:19:36.057776+00:00,RSNDKUSDT,after_hours_weekday,1807.3600000000001,10.512570821528989,5.256285410763866,5.256285410763866,5.256285410763866,5.256285410763866,5.310773993970534,5.688915792872676,5.256285410765123,5.256285410765123,5.256285410765123,5.256285410765123,5.344227439129047,5.672063866086328,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:19:36.057776+00:00,RAMDUSDT,after_hours_weekday,612.8050000000001,9.627858780526134,5.19039861184555,13.590155134250551,17.72738094716396,28.572306589628752,46.343771265725884,79.28922678922955,6.066853404492818,12.677953871253028,19.817334853901638,30.520024906784897,52.13024388603282,82.91709265805456,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:19:36.057776+00:00,RINTCUSDT,after_hours_weekday,121.905,46.75772117632527,26.027337088816346,35.60730210261058,39.94448419667252,57.0996031942106,72.77958498127622,109.94647238632243,24.033600371657855,33.465129241944155,39.087571267042065,49.12139847698663,65.93522509929718,98.736086014311,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:19:36.057776+00:00,RAAPLUSDT,after_hours_weekday,336.95,7.71627837958127,5.3442542179859975,14.731371468174688,20.048831884097403,34.08136333435692,51.875801507407104,94.27531748423674,5.43607858829437,12.451964652351993,14.387805754854977,33.19194300845441,53.9288760789466,90.81512932434583,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:19:36.057776+00:00,RTSLAUSDT,after_hours_weekday,379.54999999999995,4.742458174153783,2.3712290870776407,2.3712290870776407,2.3712290870776407,4.2742768077291045,5.199925669247786,6.660607910926416,2.3712290870761428,2.3712290870761428,2.3712290870761428,3.213669634222257,4.468734371040109,6.192370178160233,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:19:36.057776+00:00,RGOOGLUSDT,after_hours_weekday,342.48,24.52697967764468,12.26348983882151,12.26348983882151,12.26348983882151,12.728641410002277,14.27724199581167,16.986376504830282,12.263489838823169,12.263489838823169,12.263489838823169,13.364301068930038,15.256880159104968,17.37226721007684,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:19:36.057776+00:00,RAMZNUSDT,after_hours_weekday,248.6,4.8270313757041245,4.357696548960391,12.371507453378307,20.869656347165186,32.33152793521896,52.694961139395566,105.24137340610814,4.866463753482215,25.82543895046419,33.2882073690633,48.09694525713765,65.93593405950332,123.46679942108472,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:20:36.059051+00:00,RQQQUSDT,after_hours_weekday,740.515,7.427263458538376,3.713631729269188,3.713631729269188,3.713631729269188,5.54712081934772,7.261195741371153,8.45869426723698,3.713631729269188,3.713631729269188,3.713631729269188,3.713631729269188,4.0021788570952905,5.2375346736522355,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:20:36.059051+00:00,RSPYUSDT,after_hours_weekday,767.21,6.256435656469782,3.128217828234891,3.128217828234891,3.128217828234891,3.3979814789622846,4.270093625160502,5.613946493282214,3.128217828234891,3.128217828234891,3.128217828234891,3.509334707922057,4.644873494693218,5.915627724160797,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:20:36.059051+00:00,RMUUSDT,after_hours_weekday,1068.345,1.778451717376452,2.463914030268195,3.375725862266974,3.489714030093045,3.5581081777365764,4.717943286003158,6.346584848993328,2.8516825760928577,3.6779639575671985,3.7812395265679926,3.8508111250690416,3.9144638096565356,5.042206120352285,True,True,True,True,True,True,True,True,True,True,True,True
